Entity,Code,Year,Battery-electric as a share of electric cars sold
Mexico,MEX,2018,11.111111
Mexico,MEX,2019,17.159763
Mexico,MEX,2020,47.36842
Mexico,MEX,2021,46.153847
Mexico,MEX,2022,52.38095
Mexico,MEX,2023,85.52631
Netherlands,NLD,2011,98.06158
Netherlands,NLD,2012,15.520629
Netherlands,NLD,2013,11.504425
Netherlands,NLD,2014,18.367348
Netherlands,NLD,2015,8.0188675
Netherlands,NLD,2016,18.181818
Netherlands,NLD,2017,77.67857
Netherlands,NLD,2018,83.05648
Netherlands,NLD,2019,90.387375
Netherlands,NLD,2020,80.85107
Netherlands,NLD,2021,63.636364
Netherlands,NLD,2022,63.50365
Netherlands,NLD,2023,61.904762
New Zealand,NZL,2011,86.666664
New Zealand,NZL,2012,81.48148
New Zealand,NZL,2013,83.333336
New Zealand,NZL,2014,34.375
New Zealand,NZL,2015,60
New Zealand,NZL,2016,77.92208
New Zealand,NZL,2017,84.30232
New Zealand,NZL,2018,78.57143
New Zealand,NZL,2019,76.81159
New Zealand,NZL,2020,72.22222
New Zealand,NZL,2021,66.01942
New Zealand,NZL,2022,67.375885
New Zealand,NZL,2023,68.42105
Norway,NOR,2012,92.41706
Norway,NOR,2013,95.87379
Norway,NOR,2014,92.1659
Norway,NOR,2015,76.69617
Norway,NOR,2016,53.333332
Norway,NOR,2017,53.225807
Norway,NOR,2018,63.0137
Norway,NOR,2019,75.94936
Norway,NOR,2020,72.64151
Norway,NOR,2021,74.324326
Norway,NOR,2022,89.74359
Norway,NOR,2023,90.90909
Poland,POL,2010,93.75
Poland,POL,2012,91.666664
Poland,POL,2013,83.78378
Poland,POL,2014,69.65174
Poland,POL,2015,31.818182
Poland,POL,2016,21.568628
Poland,POL,2017,40.74074
Poland,POL,2018,44.927536
Poland,POL,2019,55.555557
Poland,POL,2020,45.121952
Poland,POL,2021,44.17178
Poland,POL,2022,56
Poland,POL,2023,56.666668
Portugal,PRT,2011,98.83721
Portugal,PRT,2012,64.28571
Portugal,PRT,2013,81.08108
Portugal,PRT,2014,65.97222
Portugal,PRT,2015,60.909092
Portugal,PRT,2016,44.444443
Portugal,PRT,2017,43.18182
Portugal,PRT,2018,52.439026
Portugal,PRT,2019,53.968254
Portugal,PRT,2020,39.39394
Portugal,PRT,2021,44.827587
Portugal,PRT,2022,52.941177
Portugal,PRT,2023,57.142857
Rest of World,,2012,84.82143
Rest of World,,2013,90.04739
Rest of World,,2014,27.272728
Rest of World,,2015,79.06977
Rest of World,,2016,55.6962
Rest of World,,2017,76.92308
Rest of World,,2018,42.5
Rest of World,,2019,65
Rest of World,,2020,78.947365
Rest of World,,2021,78.06692
Rest of World,,2022,85.86762
Rest of World,,2023,79.36508
South Africa,ZAF,2014,93.333336
South Africa,ZAF,2015,50
South Africa,ZAF,2016,26.31579
South Africa,ZAF,2017,34.343433
South Africa,ZAF,2018,44.594593
South Africa,ZAF,2019,68.965515
South Africa,ZAF,2020,38.01653
South Africa,ZAF,2021,81.18081
South Africa,ZAF,2022,80.645164
South Africa,ZAF,2023,75
South Korea,KOR,2015,92.537315
South Korea,KOR,2016,93.43936
South Korea,KOR,2017,95.43285
South Korea,KOR,2018,92.59259
South Korea,KOR,2019,92.43697
South Korea,KOR,2020,78.08564
South Korea,KOR,2021,79.12088
South Korea,KOR,2022,91.60305
South Korea,KOR,2023,90.90909
Spain,ESP,2011,97.98995
Spain,ESP,2012,79.62963
Spain,ESP,2013,91.83673
Spain,ESP,2014,80.92486
Spain,ESP,2015,62.5
Spain,ESP,2016,57.142857
Spain,ESP,2017,52.7027
Spain,ESP,2018,51.724136
Spain,ESP,2019,57.471264
Spain,ESP,2020,42.857143
Spain,ESP,2021,35.820896
Spain,ESP,2022,40.243904
Spain,ESP,2023,46.72131
Sweden,SWE,2012,29.032259
Sweden,SWE,2013,28.104576
Sweden,SWE,2014,26.086956
Sweden,SWE,2015,34.482758
Sweden,SWE,2016,22.48062
Sweden,SWE,2017,21.568628
Sweden,SWE,2018,24.398626
Sweden,SWE,2019,39.02439
Sweden,SWE,2020,29.787233
Sweden,SWE,2021,42.22222
Sweden,SWE,2022,58.895706
Sweden,SWE,2023,64.327484
Switzerland,CHE,2011,90.70295
Switzerland,CHE,2012,45.945946
Switzerland,CHE,2013,87.59124
Switzerland,CHE,2014,93.10345
Switzerland,CHE,2015,57.894737
Switzerland,CHE,2016,54.098362
Switzerland,CHE,2017,57.142857
Switzerland,CHE,2018,53.68421
Switzerland,CHE,2019,75.14451
Switzerland,CHE,2020,58.82353
Switzerland,CHE,2021,59.25926
Switzerland,CHE,2022,67.79661
Switzerland,CHE,2023,69.73684
Turkey,TUR,2014,67.64706
Turkey,TUR,2015,52.173912
Turkey,TUR,2016,34.645668
Turkey,TUR,2017,69.36937
Turkey,TUR,2018,80.85107
Turkey,TUR,2019,70.987656
Turkey,TUR,2020,68.99225
Turkey,TUR,2021,76.53061
Turkey,TUR,2022,92.838196
Turkey,TUR,2023,96.06987
United Kingdom,GBR,2010,91.954025
United Kingdom,GBR,2011,99.42005
United Kingdom,GBR,2012,62.25681
United Kingdom,GBR,2013,70.27027
United Kingdom,GBR,2014,46.206898
United Kingdom,GBR,2015,34.482758
United Kingdom,GBR,2016,25.641026
United Kingdom,GBR,2017,28.571428
United Kingdom,GBR,2018,25.806452
United Kingdom,GBR,2019,50.666668
United Kingdom,GBR,2020,61.797752
United Kingdom,GBR,2021,61.29032
United Kingdom,GBR,2022,72.97298
United Kingdom,GBR,2023,68.888885
United States,USA,2011,55.05618
United States,USA,2012,27.777779
United States,USA,2013,49.484535
United States,USA,2014,53.38983
United States,USA,2015,62.2807
United States,USA,2016,54.375
United States,USA,2017,51.54639
United States,USA,2018,66.666664
United States,USA,2019,73.84615
United States,USA,2020,78.23129
United States,USA,2021,74.60317
United States,USA,2022,80.80808
United States,USA,2023,79.13669
World,OWID_WRL,2010,93.95973
World,OWID_WRL,2011,81.63265
World,OWID_WRL,2012,49.166668
World,OWID_WRL,2013,54.726368
World,OWID_WRL,2014,60.60606
World,OWID_WRL,2015,60
World,OWID_WRL,2016,61.842106
World,OWID_WRL,2017,64.40678
World,OWID_WRL,2018,67.96117
World,OWID_WRL,2019,72.11539
World,OWID_WRL,2020,67.1141
World,OWID_WRL,2021,71.21212
World,OWID_WRL,2022,71.56863
World,OWID_WRL,2023,68.840576
